"Comparison"	"GeneID"	"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"Ctrl_Res_Sens"	8659	"ALDH4A1"	1.51956623936077	3.70262792483852	3.30207574974999	0.00130107747489986	0.0310771077100907
"Ctrl_Res_Sens"	10602	"CDC42EP3"	1.77417295692682	4.89131277132734	3.30199021915624	0.00130143757437374	0.0310771077100907
"Ctrl_Res_Sens"	114769	"CARD16"	-4.40841058002149	1.00084873171846	-3.29938473291089	0.00131245194233818	0.0312273862323592
"Ctrl_Res_Sens"	196047	"EMX2OS"	3.70381783209896	-0.682491297645598	3.29865190939825	0.00131556554107035	0.0312452720696943
"Ctrl_Res_Sens"	145482	"PTGR2"	-1.42311722076393	3.65489216145922	-3.2975895698451	0.00132009144995176	0.0312965766871179
"Ctrl_Res_Sens"	56928	"SPPL2B"	1.14726675093224	4.8184650205592	3.29699013961364	0.00132265164025186	0.0313011780838853
"Ctrl_Res_Sens"	79176	"FBXL15"	1.09636721626076	4.38181997516907	3.29560021666319	0.00132860593958196	0.0313318318921773
"Ctrl_Res_Sens"	5052	"PRDX1"	-1.07175638835198	9.16837158519267	-3.29503087028771	0.00133105219770229	0.0313318318921773
"Ctrl_Res_Sens"	834	"CASP1"	-4.46386492615362	1.72513587312427	-3.29190945222793	0.00134453874515151	0.0315208868774091
"Ctrl_Res_Sens"	54682	"MANSC1"	1.02704245596848	4.98227550486002	3.29043567764417	0.00135095072796343	0.0315208868774091
"Ctrl_Res_Sens"	84302	"TMEM246"	2.86049057170301	0.890794133110062	3.28930441455384	0.00135589192786464	0.0315208868774091
"Ctrl_Res_Sens"	51192	"CKLF"	-1.3389458790792	5.23586536540593	-3.28747353167051	0.00136392479823129	0.0315208868774091
"Ctrl_Res_Sens"	131096	"KCNH8"	3.65613321882374	1.80077286048968	3.28708317386698	0.00136564321171119	0.0315208868774091
"Ctrl_Res_Sens"	151230	"KLHL23"	1.49481786282967	3.18237946615914	3.28687744621748	0.00136654967009301	0.0315208868774091
"Ctrl_Res_Sens"	9647	"PPM1F"	1.2869722460546	3.66340433162336	3.28669462709168	0.00136735566315115	0.0315208868774091
"Ctrl_Res_Sens"	10312	"TCIRG1"	-1.58208467996717	3.25036358910064	-3.28662193883802	0.00136767624670291	0.0315208868774091
"Ctrl_Res_Sens"	1114	"CHGB"	5.06291181742286	0.793692487722975	3.28569578150739	0.00137176711965542	0.0315471309257098
"Ctrl_Res_Sens"	5918	"RARRES1"	-4.69056183616025	1.5753894414313	-3.28455941062638	0.00137680214630985	0.031566231531253
"Ctrl_Res_Sens"	1026	"CDKN1A"	-1.86039875261626	7.47803780027838	-3.28255966754281	0.00138570458344542	0.0316605974687382
"Ctrl_Res_Sens"	6280	"S100A9"	3.85229504310954	0.537283722030242	3.28157347366578	0.00139011470079787	0.0316806816589249
"Ctrl_Res_Sens"	5994	"RFXAP"	1.66271821105542	2.82171102407295	3.28129258387547	0.00139137319856643	0.0316806816589249
"Ctrl_Res_Sens"	6919	"TCEA2"	2.73835678837569	0.506926468998827	3.27358964381102	0.00142630339610694	0.0323646099950234
"Ctrl_Res_Sens"	3643	"INSR"	1.26366431172372	5.62473438253555	3.26894671191015	0.00144775163038488	0.0326831165842349
"Ctrl_Res_Sens"	6095	"RORA"	3.58834297432154	2.82506832006903	3.26638099328988	0.00145973300501938	0.0328974581318593
"Ctrl_Res_Sens"	84858	"ZNF503"	1.18133307784857	5.80085125651637	3.26217493850436	0.00147957503418146	0.0332168321156563
"Ctrl_Res_Sens"	79971	"WLS"	-1.39942937877517	4.33856577467391	-3.25840449267635	0.00149757597897932	0.0334964792390786
"Ctrl_Res_Sens"	3624	"INHBA"	3.78480478738524	-0.411868094169465	3.25789729369052	0.00150001301021694	0.0334964792390786
"Ctrl_Res_Sens"	883	"KYAT1"	2.37088215471541	1.70510805957452	3.25758711806412	0.00150150519228767	0.0334964792390786
"Ctrl_Res_Sens"	79008	"SLX1B"	-1.08456106945329	4.64356452405033	-3.25690992239573	0.00150476784078119	0.033512750447297
"Ctrl_Res_Sens"	548593	"SLX1A"	-1.08092561515715	4.64242509966472	-3.25627892200571	0.0015078138842624	0.0335241510502644
"Ctrl_Res_Sens"	388692	"LINC02591"	3.35192831027661	1.64340486358722	3.25096316830797	0.00153370431281983	0.0339321039371068
"Ctrl_Res_Sens"	9536	"PTGES"	1.90528999093464	4.15350269028334	3.25093200820989	0.00153385729491192	0.0339321039371068
"Ctrl_Res_Sens"	10026	"PIGK"	-1.13582960951819	3.61681825076268	-3.2490062417573	0.00154333964374505	0.0340848750369003
"Ctrl_Res_Sens"	3612	"IMPA1"	-1.31254129859141	4.46299518179699	-3.24608153304323	0.00155784545738171	0.034347895926171
"Ctrl_Res_Sens"	4116	"MAGOH"	-1.13613084712346	6.43799473739669	-3.24448500524317	0.00156581743751938	0.0344662210997402
"Ctrl_Res_Sens"	6232	"RPS27"	1.09507930317503	10.0938592832253	3.24347927882822	0.00157085888959638	0.0345197545688879
"Ctrl_Res_Sens"	728855	"LINC00623"	1.65931558663249	2.4093418121696	3.24271878725062	0.00157468109783015	0.0345463619290133
"Ctrl_Res_Sens"	3958	"LGALS3"	-1.06601855547726	9.1639664041058	-3.24204293077881	0.00157808521670206	0.0345637240591913
"Ctrl_Res_Sens"	79230	"ZNF557"	1.02513969075398	4.09602109162673	3.24069129776691	0.00158491366695223	0.0346559056200182
